hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B03404,B03404,2023-08-04 19:48:51,2023-08-04 19:51:44,2023-08-04 19:52:44,2023-08-04 19:59:08,69,47,0.88,384,8.88,0.0,0.24,0.79,0.0,0.0,0.0,10.54,N,N, ,N,N
HV0003,B03404,B03404,2023-08-05 12:03:12,2023-08-05 12:07:33,2023-08-05 12:08:57,2023-08-05 12:49:23,137,244,9.66,2426,32.42,0.0,0.89,2.88,2.75,0.0,0.0,35.63,N,N, ,N,N
HV0003,B03404,B03404,2023-08-02 21:47:13,2023-08-02 21:50:09,2023-08-02 21:50:55,2023-08-02 22:15:00,162,223,4.41,1445,27.97,0.0,0.77,2.48,2.75,0.0,6.79,19.37,N,N, ,N,N
HV0003,B03404,B03404,2023-08-01 12:05:26,2023-08-01 12:08:05,2023-08-01 12:08:43,2023-08-01 12:33:02,170,231,6.35,1459,27.07,0.0,0.74,2.4,2.75,0.0,4.94,22.06,N,N, ,N,N
HV0005,B03406,,2023-08-11 19:57:09,,2023-08-11 19:59:05,2023-08-11 20:04:44,55,55,0.601,339,10.17,0.0,0.28,0.9,0.0,0.0,0.0,5.47,N,N,N,N,N
HV0003,B03404,B03404,2023-08-12 22:46:13,2023-08-12 22:50:37,2023-08-12 22:52:37,2023-08-12 23:41:07,130,238,16.76,2910,51.93,6.94,1.62,5.22,2.75,0.0,0.0,56.36,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-25 12:39:30,2023-08-25 12:42:34,2023-08-25 12:43:09,2023-08-25 12:44:57,56,56,0.35,108,6.47,0.0,0.18,0.57,0.0,0.0,0.0,5.4,N,N, ,N,N
HV0003,B03404,B03404,2023-08-28 14:18:52,2023-08-28 14:26:30,2023-08-28 14:27:34,2023-08-28 15:08:44,194,64,16.23,2470,73.25,16.94,2.48,8.0,0.0,0.0,0.0,44.72,N,N, ,N,N
HV0003,B03404,B03404,2023-08-18 08:33:54,2023-08-18 08:41:54,2023-08-18 08:43:24,2023-08-18 08:53:09,72,61,1.74,585,10.24,0.0,0.28,0.91,0.0,0.0,3.0,7.79,Y,N, ,N,N
HV0003,B03404,B03404,2023-08-15 10:02:15,2023-08-15 10:04:22,2023-08-15 10:05:20,2023-08-15 10:11:57,237,236,0.66,397,11.86,0.0,0.33,1.05,2.75,0.0,0.0,8.39,N,N, ,N,N
HV0003,B03404,B03404,2023-08-08 17:18:34,2023-08-08 17:21:27,2023-08-08 17:23:28,2023-08-08 17:56:09,224,189,4.43,1961,35.66,0.0,0.98,3.16,2.75,0.0,0.0,24.26,N,N, ,N,N
HV0003,B03404,B03404,2023-08-13 10:56:02,2023-08-13 10:58:56,2023-08-13 11:00:02,2023-08-13 11:38:47,261,1,16.04,2325,79.26,24.57,2.92,0.0,0.0,2.5,0.0,48.48,N,N, ,N,N
HV0005,B03406,,2023-08-21 20:04:47,,2023-08-21 20:07:14,2023-08-21 20:47:13,79,132,17.613,2399,52.15,0.21,1.51,4.87,2.75,2.5,13.57,46.04,N,N,N,N,N
HV0003,B03404,B03404,2023-08-23 10:01:47,2023-08-23 10:04:02,2023-08-23 10:04:05,2023-08-23 10:12:54,74,74,1.07,529,5.74,0.0,0.16,0.51,0.0,0.0,0.0,6.38,N,N, ,N,N
HV0005,B03406,,2023-08-20 14:29:15,,2023-08-20 14:37:24,2023-08-20 14:52:26,240,212,4.514,902,18.8,0.0,0.52,1.67,0.0,0.0,0.0,14.53,N,N,N,N,N
HV0003,B03404,B03404,2023-08-22 16:44:37,2023-08-22 16:46:43,2023-08-22 16:48:42,2023-08-22 16:58:54,33,25,1.19,612,10.64,0.0,0.29,0.94,0.0,0.0,0.0,8.94,N,N, ,N,Y
