Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2021-10-15,50.9,52.75,50.05,51.58,51.58,6396700,2021,10,15
2021-10-16,50.9,52.75,50.05,51.58,51.58,0,2021,10,16
2021-10-17,50.9,52.75,50.05,51.58,51.58,0,2021,10,17
2021-10-18,50.76,51.41,50.46,50.47,50.47,3437800,2021,10,18
2021-10-19,50.69,50.73,49.43,50.04,50.04,4930500,2021,10,19
2021-10-20,50.07,50.78,49.3,49.41,49.41,3245900,2021,10,20
2021-10-21,49.45,50.69,49.35,49.57,49.57,3885500,2021,10,21
2021-10-22,49.1,49.32,48.07,48.32,48.32,2983700,2021,10,22
2021-10-23,49.1,49.32,48.07,48.32,48.32,0,2021,10,23
2021-10-24,49.1,49.32,48.07,48.32,48.32,0,2021,10,24
2021-10-25,48.34,49.14,47.76,48.12,48.12,2914400,2021,10,25
2021-10-26,48.77,49.39,47.42,47.54,47.54,3616500,2021,10,26
2021-10-27,47.8,48.24,46.48,46.72,46.72,4622200,2021,10,27
2021-10-28,46.86,47.41,46.36,46.92,46.92,3298400,2021,10,28
2021-10-29,46.84,47.15,45.51,45.87,45.87,4137000,2021,10,29
2021-10-30,46.84,47.15,45.51,45.87,45.87,0,2021,10,30
2021-10-31,46.84,47.15,45.51,45.87,45.87,0,2021,10,31
2021-11-01,45.77,46.5,45.02,46.4,46.4,5748600,2021,11,1
2021-11-02,46.69,46.82,44.05,45.32,45.32,14019600,2021,11,2
2021-11-03,51.55,52.08,48.35,49.03,49.03,20734500,2021,11,3
2021-11-04,49.24,50.61,48.21,49.14,49.14,6775900,2021,11,4
2021-11-05,51.15,54.0,51.15,53.55,53.55,13542000,2021,11,5
2021-11-06,51.15,54.0,51.15,53.55,53.55,0,2021,11,6
2021-11-07,51.15,54.0,51.15,53.55,53.55,0,2021,11,7
2021-11-08,53.98,56.38,53.61,55.24,55.24,7768800,2021,11,8
2021-11-09,55.19,56.3,54.08,56.26,56.26,6752000,2021,11,9
2021-11-10,55.43,57.68,53.84,54.6,54.6,8000900,2021,11,10
2021-11-11,54.84,54.96,52.84,53.18,53.18,5164100,2021,11,11
2021-11-12,53.39,53.47,52.28,52.96,52.96,3768600,2021,11,12
2021-11-13,53.39,53.47,52.28,52.96,52.96,0,2021,11,13
2021-11-14,53.39,53.47,52.28,52.96,52.96,0,2021,11,14
2021-11-15,53.0,53.59,50.98,51.66,51.66,4385900,2021,11,15
2021-11-16,52.11,52.69,51.24,51.28,51.28,3559100,2021,11,16
2021-11-17,50.77,51.15,49.09,49.71,49.71,4381700,2021,11,17
2021-11-18,49.7,49.7,48.12,49.29,49.29,3645800,2021,11,18
2021-11-19,48.8,48.8,47.29,47.51,47.51,4662000,2021,11,19
2021-11-20,48.8,48.8,47.29,47.51,47.51,0,2021,11,20
2021-11-21,48.8,48.8,47.29,47.51,47.51,0,2021,11,21
2021-11-22,47.29,47.41,43.7,45.48,45.48,9101500,2021,11,22
2021-11-23,45.39,46.48,44.53,45.67,45.67,5096400,2021,11,23
2021-11-24,44.56,44.8,43.3,44.52,44.52,5861700,2021,11,24
2021-11-25,44.56,44.8,43.3,44.52,44.52,0,2021,11,25
2021-11-26,41.68,42.58,40.41,42.4,42.4,7584300,2021,11,26
2021-11-27,41.68,42.58,40.41,42.4,42.4,0,2021,11,27
2021-11-28,41.68,42.58,40.41,42.4,42.4,0,2021,11,28
2021-11-29,43.0,43.62,40.83,41.82,41.82,6633400,2021,11,29
2021-11-30,41.24,41.8,39.03,40.61,40.61,10057200,2021,11,30
2021-12-01,41.74,41.95,37.97,38.22,38.22,8231000,2021,12,1
2021-12-02,39.3,41.39,38.42,41.15,41.15,10766400,2021,12,2
2021-12-03,40.9,41.05,38.26,39.47,39.47,7656700,2021,12,3
